English,Russian,volatile,изменчивый
English,Russian,semiconductor,полупроводник
English,Russian,regarding,относительно
English,Russian,assume,предполагать
English,Russian,sequential,последовательный
English,Russian,coefficient,коэффициент
English,Russian,Tribute,дань
English,Russian,In a sense,В некотором смысле
English,Russian,neat,аккуратный
English,Russian,mutually,взаимно
English,Russian,drastically,кардинально
English,Russian,tremendously,чрезвычайно
English,Russian,thorough,тщательный
English,Russian,decent,приличная
English,Russian,disjoint,непересекающиеся
English,Russian,vast,огромный
English,Russian,foremost,в первую очередь
English,Russian,disrupt,срывать
English,Russian,purporting,подразумевая
English,Russian,sufficient,достаточно
English,Russian,extant,сохранившийся
English,Russian,precedence,старшинство
English,Russian,quirk,причуда
English,Russian,implies,подразумевает
Russian,English,Походка,Gait
English,Russian,elicit,вызывать
English,Russian,impersonal,безличный
English,Russian,merely,просто
English,Russian,prosperity,процветание
English,Russian,bestow,даровать
English,Russian,abundance,изобилие
English,Russian,drought,засуха
English,Russian,aging,старение
English,Russian,infants,дети
English,Russian,rely,полагаться
English,Russian,rehearsal,репетиция
English,Russian,decayed,гнилой
English,Russian,shiver,дрожать
English,Russian,coating,покрытие
English,Russian,flux,поток
English,Russian,rumors,слухи
English,Russian,bulky,объемистый
English,Russian,bully,задира
English,Russian,patch,пластырь
English,Russian,rid,избавиться
English,Russian,dull,скучный
English,Russian,cabbie,извозчик
English,Russian,chuckle,посмеиваться
English,Russian,whimper,хныканье
English,Russian,rumbling,урчание
English,Russian,venom,яд
English,Russian,groan,стон
English,Russian,massacre,бойня
English,Russian,flapping,хлопающий
English,Russian,gasping,затрудненное дыхание
English,Russian,magpie,болтун
English,Russian,reverend,почтенный
English,Russian,grunting,хрюканье
English,Russian,scholarly,ученый
English,Russian,furnished,меблированный
English,Russian,seldom,редко
English,Russian,inhabitants,жителей
English,Russian,despite,несмотря
English,Russian,submissive,покорный
English,Russian,muzzle,морда
English,Russian,merits,заслуги
English,Russian,devotions,религиозные обряды
English,Russian,diverted,переадресованы
English,Russian,fracturing,трещиноватость
English,Russian,grain,зерно
English,Russian,affections,привязанностей
English,Russian,sacred,священный
English,Russian,wages,заработная плата
English,Russian,storehouse,кладезь
English,Russian,benevolence,благожелательность
English,Russian,emphasize,подчеркивать
English,Russian,outwardly,внешне
English,Russian,beneficence,благодеяние
English,Russian,comprehension,понимание
English,Russian,neglect,пренебрежение
English,Russian,extent,степень
English,Russian,daunting,пугающим
English,Russian,clergy,духовенство
English,Russian,haphazard,бессистемный
English,Russian,equitable,равноправный
English,Russian,funding,финансирование
English,Russian,treatment,лечение
English,Russian,tremendous,огромный
English,Russian,tissue,ткань
English,Russian,sustain,поддерживать
English,Russian,shrug,пожимание плечами
English,Russian,seize,воспользоваться
English,Russian,scholarship,ученость
English,Russian,provision,обеспечение
English,Russian,mortgage,ипотека
English,Russian,maintain,поддерживать
English,Russian,habitat,естественная среда
English,Russian,grocery,продуктовый
English,Russian,fuel,топливо
English,Russian,fiber,волокно
English,Russian,fabric,ткань
English,Russian,emphasis,акцент
English,Russian,emission,излучение
English,Russian,eliminate,Устранить
English,Russian,cope,справиться
English,Russian,complain,жаловаться
English,Russian,discourse,речь
English,Russian,exhort,увещевать
English,Russian,persuade,уговаривать
English,Russian,urge,побуждать
English,Russian,convince,убеждать
English,Russian,controversial,спорный
English,Russian,compete,конкурировать
English,Russian,coal,уголь
English,Russian,capacity,вместимость
English,Russian,bury,хоронить
English,Russian,bowl,миска
English,Russian,blanket,одеяло
English,Russian,attorney,адвокат
English,Russian,assumption,предположение
English,Russian,anxiety,тревожность
English,Russian,anticipate,предвидеть
English,Russian,admission,признание
English,Russian,admission,вход
English,Russian,acquire,приобретать
English,Russian,abuse,злоупотребление
English,Russian,cuddle,прижиматься
English,Russian,helpmeet,помощник
English,Russian,matrimonial,супружеский
English,Russian,as ugly as sin,"как уродливый, как грех"
English,Russian,Long for,Желать
English,Russian,Crave,жаждать
English,Russian,hectic,беспокойный
English,Russian,ascertain,определять
English,Russian,recounts,пересчеты
Detect language,Russian,gruesome,отвратительный
Detect language,Russian,fortress,крепость
Detect language,Russian,cherish,лелеять
Detect language,Russian,discharge,разряд
Detect language,Russian,oppression,угнетение
Detect language,Russian,hasty,поспешный
Detect language,Russian,convicted,осужденный
Detect language,Russian,harsh,суровый
Detect language,Russian,harshly,резко
Detect language,Russian,erring,заблудший
Detect language,Russian,denounce,денонсировать
Detect language,Russian,subtleties,тонкости
Detect language,Russian,flock,стадо
Detect language,Russian,perplexing,озадачивающий
Detect language,Russian,beguiling,заманчивый
English,Russian,radish,редис
English,Russian,rabies,бешенство
English,Russian,arrogant,высокомерный
English,Russian,obtuse,тупой
English,Russian,approximately,примерно
English,Russian,mourn,оплакивать
English,Russian,suffereth,терпит
English,Russian,sniffing,обнюхивать
English,Russian,omitted,опущена
English,Russian,line feed,перевод строки
English,Russian,pitfall,западня
English,Russian,nasty,противный
English,Russian,proximity,близость
English,Russian,vows,обеты
English,Russian,derived,полученный
English,Russian,severity,строгость
English,Russian,overwhelming,подавляющий
English,Russian,exhaustive,исчерпывающий
English,Russian,concordance,согласование
English,Russian,irreducible,неприводимым
English,Russian,explicitly,недвусмысленно
Georgian,English,ვაფასებ,Appreciate
Russian,French,огненная,incendie
English,Russian,matte,штейн
Russian,Japanese,не знаю,私は知らない
English,Japanese,good night,おやすみなさい
Russian,Hebrew,кошка,חתול
Russian,Hebrew,мышка,עכבר
Russian,German,простите,leid
Russian,German,мне пора уходить,ich muss gehen
Russian,Japanese,спасибо,ありがとう
Georgian,Greek,hallo,γειά σου
Georgian,Korean,hallo,어이
Georgian,German,გამარჯობა,willkommen